0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-1.19858,-1.19321,-1.18789,-1.18263,-1.17743,-1.17228,-1.1672,-1.16216,-1.15718,-1.15225,-1.14737,-1.14254,-1.13776,-1.13303,-1.12835,-1.12371,-1.11912,-1.11457,-1.11007,-1.1056,-1.10119,-1.09681,-1.09247,-1.08817,-1.08391,-1.0797,-1.07551,-1.07137,-1.06726,-1.06319,-1.05915,-1.05515,-1.05118,-1.04725,-1.04334,-1.03947,-1.03564,-1.03183,-1.02806,-1.02431,-1.0206,-1.01691,-1.01326,-1.00963,-1.00603,-1.00246,-0.998918,-0.995402,-0.991912,-0.988448,-0.98501,-0.981597,-0.978209,-0.974847,-0.971508,-0.968194,-0.964903,-0.961636,-0.958391,-0.95517,-0.95197,-0.948793,-0.945638,-0.942504,-0.939392,-0.9363,-0.93323,-0.930179,-0.927149,-0.924139,-0.921148,-0.918177,-0.915225,-0.912292,-0.909377,-0.906481,-0.903603,-0.900744,-0.897902,-0.895077,-0.89227,-0.889481,-0.886708,-0.883951,-0.881212,-0.878489,-0.875782,-0.873091,-0.870415,-0.867756,-0.865112,-0.862483,-0.859869,-0.85727,-0.854686,-0.852116,-0.849561,-0.847021,-0.844494,-0.841982,-0.839483,-0.836998,-0.834526,-0.832068,-0.829623,-0.827191,-0.824773,-0.822367,-0.819973,-0.817593,-0.815225,-0.812869,-0.810525,-0.808193,-0.805874,-0.803566,-0.80127,-0.798985,-0.796713,-0.794451,-0.792201,-0.789961,-0.787733,-0.785516,-0.78331,-0.781114,-0.778929,-0.776755,-0.774591,-0.772437,-0.770294,-0.768161,-0.766038,-0.763925,-0.761821,-0.759728,-0.757644,-0.75557,-0.753505,-0.75145,-0.749404,-0.747367,-0.74534,-0.743321,-0.741312,-0.739312,-0.73732,-0.735337,-0.733363,-0.731398,-0.729441,-0.727493,-0.725553,-0.723622,-0.721698,-0.719783,-0.717877,-0.715978,-0.714087,-0.712204,-0.710329,-0.708462,-0.706603,-0.704751,-0.702907,-0.701071,-0.699242,-0.69742,-0.695606,-0.693799,-0.692,-0.690208,-0.688422,-0.686644,-0.684873,-0.683109,-0.681352,-0.679602,-0.677859,-0.676122,-0.674393,-0.672669,-0.670953,-0.669243,-0.66754,-0.665843,-0.664152,-0.662468,-0.66079,-0.659119,-0.657454,-0.655795,-0.654142,-0.652495,-0.650855,-0.64922,-0.647591,-0.645968,-0.644352,-0.642741,-0.641136,
-2.35564,-2.3496,-2.34363,-2.33772,-2.33187,-2.32607,-2.32033,-2.31464,-2.30901,-2.30343,-2.2979,-2.29242,-2.28699,-2.28162,-2.27628,-2.271,-2.26576,-2.26057,-2.25542,-2.25032,-2.24526,-2.24025,-2.23528,-2.23034,-2.22545,-2.22059,-2.21578,-2.21101,-2.20627,-2.20157,-2.1969,-2.19228,-2.18769,-2.18313,-2.17861,-2.17412,-2.16967,-2.16525,-2.16086,-2.15651,-2.15218,-2.14789,-2.14363,-2.13939,-2.1352,-2.13102,-2.12688,-2.12276,-2.11868,-2.11462,-2.11059,-2.10658,-2.10261,-2.09866,-2.09473,-2.09084,-2.08696,-2.08311,-2.07929,-2.07549,-2.07172,-2.06797,-2.06424,-2.06054,-2.05685,-2.0532,-2.04956,-2.04594,-2.04235,-2.03878,-2.03523,-2.03171,-2.0282,-2.02471,-2.02125,-2.0178,-2.01437,-2.01097,-2.00758,-2.00421,-2.00087,-1.99754,-1.99422,-1.99093,-1.98766,-1.9844,-1.98116,-1.97794,-1.97474,-1.97155,-1.96838,-1.96523,-1.96209,-1.95897,-1.95587,-1.95278,-1.94971,-1.94666,-1.94362,-1.94059,-1.93758,-1.93459,-1.93161,-1.92865,-1.9257,-1.92277,-1.91985,-1.91694,-1.91405,-1.91117,-1.90831,-1.90546,-1.90263,-1.8998,-1.89699,-1.8942,-1.89142,-1.88865,-1.88589,-1.88315,-1.88041,-1.8777,-1.87499,-1.8723,-1.86962,-1.86695,-1.86429,-1.86164,-1.85901,-1.85639,-1.85378,-1.85118,-1.84859,-1.84601,-1.84345,-1.8409,-1.83835,-1.83582,-1.8333,-1.83079,-1.82829,-1.8258,-1.82332,-1.82085,-1.81839,-1.81594,-1.81351,-1.81108,-1.80866,-1.80625,-1.80385,-1.80146,-1.79908,-1.79671,-1.79435,-1.792,-1.78966,-1.78733,-1.785,-1.78269,-1.78039,-1.77809,-1.7758,-1.77352,-1.77125,-1.76899,-1.76674,-1.7645,-1.76226,-1.76003,-1.75781,-1.75561,-1.7534,-1.75121,-1.74902,-1.74685,-1.74468,-1.74251,-1.74036,-1.73822,-1.73608,-1.73395,-1.73182,-1.72971,-1.7276,-1.7255,-1.72341,-1.72132,-1.71925,-1.71717,-1.71511,-1.71306,-1.71101,-1.70896,-1.70693,-1.7049,-1.70288,-1.70087,-1.69886,-1.69686,-1.69487,
-3.47439,-3.46805,-3.46177,-3.45553,-3.44937,-3.44326,-3.43722,-3.43123,-3.42529,-3.41941,-3.41359,-3.40782,-3.40209,-3.39642,-3.3908,-3.38523,-3.37971,-3.37424,-3.3688,-3.36343,-3.35809,-3.3528,-3.34754,-3.34234,-3.33717,-3.33205,-3.32697,-3.32193,-3.31692,-3.31197,-3.30704,-3.30215,-3.2973,-3.29249,-3.28771,-3.28297,-3.27827,-3.2736,-3.26896,-3.26436,-3.25978,-3.25524,-3.25074,-3.24626,-3.24183,-3.23741,-3.23303,-3.22867,-3.22435,-3.22006,-3.2158,-3.21156,-3.20735,-3.20317,-3.19902,-3.19489,-3.19079,-3.18672,-3.18267,-3.17865,-3.17466,-3.17068,-3.16674,-3.16281,-3.15892,-3.15504,-3.15119,-3.14736,-3.14355,-3.13977,-3.13601,-3.13228,-3.12856,-3.12486,-3.12119,-3.11754,-3.11391,-3.1103,-3.10671,-3.10314,-3.09958,-3.09605,-3.09254,-3.08905,-3.08558,-3.08213,-3.07869,-3.07527,-3.07187,-3.06849,-3.06513,-3.06178,-3.05846,-3.05515,-3.05186,-3.04858,-3.04532,-3.04208,-3.03885,-3.03564,-3.03245,-3.02927,-3.02611,-3.02296,-3.01983,-3.01672,-3.01361,-3.01053,-3.00746,-3.00441,-3.00136,-2.99834,-2.99532,-2.99233,-2.98934,-2.98637,-2.98342,-2.98048,-2.97755,-2.97463,-2.97173,-2.96884,-2.96596,-2.9631,-2.96025,-2.95741,-2.95459,-2.95178,-2.94898,-2.94619,-2.94341,-2.94065,-2.9379,-2.93516,-2.93243,-2.92971,-2.92701,-2.92432,-2.92163,-2.91897,-2.9163,-2.91365,-2.91102,-2.90839,-2.90578,-2.90317,-2.90058,-2.89799,-2.89542,-2.89286,-2.8903,-2.88776,-2.88523,-2.88271,-2.8802,-2.8777,-2.8752,-2.87272,-2.87025,-2.86778,-2.86533,-2.86288,-2.86045,-2.85802,-2.85561,-2.8532,-2.8508,-2.84841,-2.84603,-2.84366,-2.8413,-2.83894,-2.83659,-2.83426,-2.83193,-2.82961,-2.8273,-2.825,-2.8227,-2.82042,-2.81814,-2.81587,-2.8136,-2.81135,-2.80911,-2.80687,-2.80464,-2.80242,-2.8002,-2.798,-2.7958,-2.7936,-2.79142,-2.78924,-2.78707,-2.78491,-2.78276,-2.78061,-2.77847,-2.77634,-2.77421,
-4.56622,-4.55974,-4.55332,-4.54696,-4.54066,-4.53443,-4.52825,-4.52213,-4.51607,-4.51006,-4.50411,-4.49821,-4.49237,-4.48657,-4.48083,-4.47514,-4.4695,-4.4639,-4.45836,-4.45286,-4.44741,-4.442,-4.43664,-4.43131,-4.42604,-4.4208,-4.41561,-4.41046,-4.40535,-4.40028,-4.39525,-4.39025,-4.3853,-4.38038,-4.3755,-4.37065,-4.36584,-4.36107,-4.35633,-4.35163,-4.34696,-4.34232,-4.33772,-4.33314,-4.3286,-4.32409,-4.31961,-4.31516,-4.31074,-4.30636,-4.302,-4.29767,-4.29337,-4.28909,-4.28485,-4.28064,-4.27644,-4.27228,-4.26814,-4.26403,-4.25995,-4.25589,-4.25185,-4.24784,-4.24385,-4.23989,-4.23596,-4.23204,-4.22815,-4.22428,-4.22044,-4.21662,-4.21282,-4.20905,-4.20529,-4.20156,-4.19784,-4.19415,-4.19048,-4.18683,-4.1832,-4.17959,-4.176,-4.17243,-4.16888,-4.16535,-4.16183,-4.15834,-4.15486,-4.15141,-4.14797,-4.14455,-4.14115,-4.13776,-4.13439,-4.13105,-4.12771,-4.1244,-4.1211,-4.11781,-4.11455,-4.1113,-4.10806,-4.10485,-4.10165,-4.09846,-4.09529,-4.09213,-4.08899,-4.08587,-4.08276,-4.07967,-4.07658,-4.07352,-4.07046,-4.06743,-4.06441,-4.0614,-4.0584,-4.05542,-4.05245,-4.04949,-4.04655,-4.04362,-4.04071,-4.03781,-4.03492,-4.03204,-4.02918,-4.02633,-4.02348,-4.02066,-4.01785,-4.01504,-4.01225,-4.00948,-4.00671,-4.00395,-4.00121,-3.99848,-3.99576,-3.99305,-3.99035,-3.98767,-3.98499,-3.98232,-3.97967,-3.97703,-3.97439,-3.97178,-3.96916,-3.96656,-3.96397,-3.96139,-3.95882,-3.95626,-3.95371,-3.95117,-3.94864,-3.94612,-3.94361,-3.94111,-3.93862,-3.93614,-3.93367,-3.9312,-3.92875,-3.9263,-3.92386,-3.92144,-3.91902,-3.91661,-3.91421,-3.91182,-3.90944,-3.90707,-3.9047,-3.90234,-3.9,-3.89766,-3.89533,-3.893,-3.89069,-3.88839,-3.88609,-3.8838,-3.88152,-3.87924,-3.87698,-3.87472,-3.87247,-3.87022,-3.86799,-3.86576,-3.86354,-3.86133,-3.85913,-3.85693,-3.85474,-3.85256,-3.85038,
-5.63837,-5.63183,-5.62536,-5.61894,-5.61259,-5.6063,-5.60007,-5.5939,-5.58779,-5.58173,-5.57573,-5.56978,-5.56389,-5.55804,-5.55225,-5.54651,-5.54083,-5.53518,-5.52959,-5.52404,-5.51854,-5.51308,-5.50767,-5.50231,-5.49699,-5.49171,-5.48647,-5.48127,-5.47612,-5.47101,-5.46593,-5.46089,-5.4559,-5.45094,-5.44601,-5.44112,-5.43627,-5.43146,-5.42668,-5.42194,-5.41722,-5.41255,-5.4079,-5.40329,-5.39871,-5.39416,-5.38964,-5.38516,-5.3807,-5.37627,-5.37188,-5.36751,-5.36317,-5.35886,-5.35458,-5.35032,-5.3461,-5.3419,-5.33773,-5.33358,-5.32946,-5.32536,-5.32129,-5.31725,-5.31323,-5.30924,-5.30526,-5.30132,-5.29739,-5.29349,-5.28961,-5.28576,-5.28193,-5.27812,-5.27433,-5.27056,-5.26682,-5.26309,-5.25939,-5.25571,-5.25205,-5.24841,-5.24478,-5.24118,-5.2376,-5.23404,-5.2305,-5.22697,-5.22347,-5.21998,-5.21651,-5.21307,-5.20963,-5.20622,-5.20282,-5.19944,-5.19608,-5.19274,-5.18941,-5.18609,-5.1828,-5.17952,-5.17626,-5.17302,-5.16978,-5.16657,-5.16337,-5.16019,-5.15702,-5.15387,-5.15073,-5.14761,-5.1445,-5.14141,-5.13833,-5.13527,-5.13222,-5.12918,-5.12616,-5.12315,-5.12016,-5.11718,-5.11421,-5.11126,-5.10832,-5.10539,-5.10247,-5.09957,-5.09668,-5.09381,-5.09094,-5.08809,-5.08525,-5.08243,-5.07961,-5.07681,-5.07402,-5.07124,-5.06848,-5.06572,-5.06297,-5.06024,-5.05752,-5.05481,-5.05211,-5.04942,-5.04675,-5.04408,-5.04142,-5.03878,-5.03614,-5.03352,-5.03091,-5.02831,-5.02571,-5.02313,-5.02055,-5.01799,-5.01544,-5.0129,-5.01037,-5.00784,-5.00533,-5.00283,-5.00033,-4.99784,-4.99537,-4.99291,-4.99045,-4.988,-4.98556,-4.98313,-4.98071,-4.9783,-4.9759,-4.9735,-4.97112,-4.96874,-4.96637,-4.96401,-4.96166,-4.95932,-4.95698,-4.95465,-4.95234,-4.95003,-4.94773,-4.94543,-4.94315,-4.94087,-4.93859,-4.93633,-4.93408,-4.93183,-4.92959,-4.92736,-4.92514,-4.92292,-4.92071,-4.91851,-4.91632,
-6.69431,-6.68776,-6.68126,-6.67482,-6.66845,-6.66214,-6.65589,-6.64969,-6.64356,-6.63749,-6.63146,-6.6255,-6.61958,-6.61371,-6.6079,-6.60214,-6.59643,-6.59077,-6.58516,-6.57959,-6.57408,-6.5686,-6.56318,-6.55779,-6.55246,-6.54716,-6.5419,-6.53669,-6.53152,-6.52639,-6.52129,-6.51624,-6.51122,-6.50625,-6.5013,-6.4964,-6.49153,-6.4867,-6.48191,-6.47715,-6.47242,-6.46772,-6.46306,-6.45844,-6.45384,-6.44927,-6.44474,-6.44024,-6.43577,-6.43133,-6.42692,-6.42253,-6.41819,-6.41386,-6.40957,-6.4053,-6.40106,-6.39684,-6.39266,-6.38849,-6.38436,-6.38025,-6.37617,-6.37211,-6.36807,-6.36407,-6.36008,-6.35612,-6.35218,-6.34827,-6.34438,-6.34051,-6.33667,-6.33284,-6.32904,-6.32526,-6.3215,-6.31777,-6.31405,-6.31036,-6.30668,-6.30303,-6.2994,-6.29578,-6.29219,-6.28862,-6.28506,-6.28152,-6.27801,-6.27451,-6.27103,-6.26757,-6.26412,-6.2607,-6.25729,-6.2539,-6.25052,-6.24717,-6.24383,-6.2405,-6.2372,-6.23391,-6.23064,-6.22738,-6.22414,-6.22091,-6.2177,-6.21451,-6.21133,-6.20817,-6.20502,-6.20189,-6.19877,-6.19567,-6.19258,-6.1895,-6.18644,-6.1834,-6.18037,-6.17735,-6.17434,-6.17135,-6.16837,-6.16541,-6.16246,-6.15952,-6.1566,-6.15369,-6.15079,-6.1479,-6.14503,-6.14217,-6.13932,-6.13648,-6.13366,-6.13085,-6.12805,-6.12526,-6.12248,-6.11971,-6.11696,-6.11422,-6.11149,-6.10877,-6.10606,-6.10337,-6.10068,-6.098,-6.09534,-6.09269,-6.09004,-6.08741,-6.08479,-6.08217,-6.07957,-6.07698,-6.0744,-6.07183,-6.06927,-6.06671,-6.06417,-6.06164,-6.05912,-6.05661,-6.05411,-6.05161,-6.04913,-6.04666,-6.04419,-6.04174,-6.03929,-6.03685,-6.03442,-6.032,-6.02959,-6.02719,-6.02479,-6.02241,-6.02003,-6.01766,-6.0153,-6.01295,-6.01061,-6.00827,-6.00595,-6.00363,-6.00132,-5.99902,-5.99673,-5.99444,-5.99216,-5.98989,-5.98763,-5.98537,-5.98313,-5.98089,-5.97866,-5.97643,-5.97422,-5.97201,-5.96981,
-7.73562,-7.72905,-7.72255,-7.71611,-7.70973,-7.70341,-7.69714,-7.69095,-7.6848,-7.67872,-7.67269,-7.66671,-7.66079,-7.65491,-7.6491,-7.64333,-7.63762,-7.63195,-7.62633,-7.62075,-7.61523,-7.60975,-7.60431,-7.59892,-7.59358,-7.58827,-7.58301,-7.57779,-7.57261,-7.56747,-7.56237,-7.55731,-7.55229,-7.5473,-7.54235,-7.53745,-7.53257,-7.52774,-7.52293,-7.51817,-7.51343,-7.50873,-7.50406,-7.49943,-7.49483,-7.49026,-7.48572,-7.48121,-7.47673,-7.47229,-7.46787,-7.46349,-7.45913,-7.4548,-7.45049,-7.44622,-7.44197,-7.43776,-7.43356,-7.42939,-7.42525,-7.42114,-7.41705,-7.41299,-7.40895,-7.40493,-7.40095,-7.39697,-7.39303,-7.38911,-7.38522,-7.38135,-7.37749,-7.37367,-7.36986,-7.36608,-7.36231,-7.35857,-7.35485,-7.35115,-7.34748,-7.34381,-7.34018,-7.33656,-7.33296,-7.32938,-7.32582,-7.32228,-7.31876,-7.31525,-7.31177,-7.3083,-7.30486,-7.30142,-7.29801,-7.29462,-7.29124,-7.28788,-7.28453,-7.2812,-7.27789,-7.2746,-7.27133,-7.26806,-7.26482,-7.26159,-7.25837,-7.25518,-7.252,-7.24883,-7.24568,-7.24254,-7.23942,-7.23631,-7.23322,-7.23014,-7.22707,-7.22402,-7.22098,-7.21796,-7.21496,-7.21196,-7.20898,-7.20601,-7.20306,-7.20012,-7.19719,-7.19427,-7.19137,-7.18848,-7.1856,-7.18274,-7.17988,-7.17704,-7.17422,-7.1714,-7.1686,-7.1658,-7.16302,-7.16026,-7.1575,-7.15475,-7.15202,-7.14929,-7.14658,-7.14388,-7.14119,-7.13851,-7.13584,-7.13318,-7.13054,-7.1279,-7.12527,-7.12266,-7.12005,-7.11746,-7.11488,-7.1123,-7.10974,-7.10718,-7.10464,-7.1021,-7.09958,-7.09706,-7.09456,-7.09206,-7.08957,-7.0871,-7.08463,-7.08217,-7.07972,-7.07728,-7.07484,-7.07242,-7.07001,-7.0676,-7.0652,-7.06281,-7.06043,-7.05806,-7.0557,-7.05335,-7.051,-7.04867,-7.04634,-7.04402,-7.0417,-7.0394,-7.0371,-7.03481,-7.03253,-7.03026,-7.02799,-7.02573,-7.02348,-7.02124,-7.01901,-7.01678,-7.01456,-7.01235,-7.01014,
-8.76304,-8.75646,-8.74996,-8.74351,-8.73712,-8.7308,-8.72454,-8.71834,-8.71219,-8.7061,-8.70007,-8.69408,-8.68816,-8.68228,-8.67647,-8.67069,-8.66497,-8.6593,-8.65368,-8.64811,-8.64257,-8.6371,-8.63166,-8.62626,-8.62091,-8.61561,-8.61034,-8.60511,-8.59993,-8.59479,-8.58969,-8.58462,-8.5796,-8.57461,-8.56966,-8.56475,-8.55988,-8.55504,-8.55023,-8.54546,-8.54073,-8.53602,-8.53135,-8.52672,-8.52211,-8.51754,-8.513,-8.50849,-8.50401,-8.49956,-8.49514,-8.49075,-8.48639,-8.48206,-8.47775,-8.47348,-8.46923,-8.46501,-8.46081,-8.45664,-8.4525,-8.44839,-8.44429,-8.44023,-8.43619,-8.43217,-8.42818,-8.42421,-8.42026,-8.41634,-8.41245,-8.40857,-8.40472,-8.40089,-8.39708,-8.39329,-8.38953,-8.38579,-8.38206,-8.37836,-8.37468,-8.37102,-8.36738,-8.36376,-8.36016,-8.35658,-8.35301,-8.34947,-8.34595,-8.34244,-8.33895,-8.33549,-8.33204,-8.3286,-8.32519,-8.32179,-8.31841,-8.31505,-8.3117,-8.30838,-8.30506,-8.30177,-8.29849,-8.29522,-8.29198,-8.28875,-8.28554,-8.28233,-8.27915,-8.27598,-8.27283,-8.26969,-8.26656,-8.26345,-8.26036,-8.25728,-8.25421,-8.25116,-8.24813,-8.2451,-8.24209,-8.2391,-8.23611,-8.23314,-8.23019,-8.22724,-8.22431,-8.2214,-8.21849,-8.2156,-8.21272,-8.20986,-8.207,-8.20416,-8.20133,-8.19851,-8.19571,-8.19291,-8.19013,-8.18736,-8.1846,-8.18186,-8.17912,-8.17639,-8.17368,-8.17098,-8.16829,-8.16561,-8.16293,-8.16028,-8.15763,-8.15499,-8.15236,-8.14975,-8.14714,-8.14455,-8.14196,-8.13938,-8.13682,-8.13426,-8.13172,-8.12918,-8.12666,-8.12414,-8.12163,-8.11913,-8.11664,-8.11416,-8.1117,-8.10923,-8.10678,-8.10434,-8.10191,-8.09948,-8.09707,-8.09466,-8.09226,-8.08987,-8.08749,-8.08512,-8.08275,-8.0804,-8.07805,-8.07571,-8.07338,-8.07106,-8.06874,-8.06644,-8.06414,-8.06185,-8.05956,-8.05729,-8.05503,-8.05277,-8.05051,-8.04827,-8.04604,-8.04381,-8.04159,-8.03937,-8.03717,
-9.77695,-9.77037,-9.76387,-9.75742,-9.75103,-9.74471,-9.73844,-9.73223,-9.72609,-9.72,-9.71397,-9.70798,-9.70206,-9.69618,-9.69036,-9.68459,-9.67887,-9.6732,-9.66757,-9.662,-9.65646,-9.65098,-9.64554,-9.64014,-9.63479,-9.62948,-9.62422,-9.61899,-9.61381,-9.60867,-9.60356,-9.5985,-9.59348,-9.58849,-9.58354,-9.57862,-9.57375,-9.5689,-9.5641,-9.55933,-9.55459,-9.54988,-9.54522,-9.54058,-9.53598,-9.5314,-9.52686,-9.52235,-9.51787,-9.51342,-9.50899,-9.5046,-9.50024,-9.49591,-9.49161,-9.48733,-9.48308,-9.47886,-9.47466,-9.47049,-9.46634,-9.46223,-9.45813,-9.45407,-9.45003,-9.44601,-9.44202,-9.43805,-9.4341,-9.43018,-9.42628,-9.4224,-9.41855,-9.41472,-9.41091,-9.40712,-9.40336,-9.39961,-9.39589,-9.39219,-9.38851,-9.38485,-9.38121,-9.37758,-9.37398,-9.3704,-9.36684,-9.36329,-9.35977,-9.35626,-9.35277,-9.34931,-9.34586,-9.34242,-9.33901,-9.33561,-9.33223,-9.32887,-9.32552,-9.32219,-9.31888,-9.31558,-9.3123,-9.30904,-9.30579,-9.30256,-9.29934,-9.29614,-9.29296,-9.28979,-9.28664,-9.2835,-9.28037,-9.27726,-9.27417,-9.27109,-9.26802,-9.26497,-9.26193,-9.2589,-9.25589,-9.25289,-9.24991,-9.24694,-9.24399,-9.24104,-9.23811,-9.23519,-9.23229,-9.2294,-9.22652,-9.22365,-9.2208,-9.21795,-9.21512,-9.2123,-9.2095,-9.2067,-9.20392,-9.20115,-9.19839,-9.19564,-9.1929,-9.19018,-9.18747,-9.18477,-9.18207,-9.17939,-9.17672,-9.17406,-9.17142,-9.16878,-9.16615,-9.16353,-9.16093,-9.15833,-9.15574,-9.15317,-9.1506,-9.14805,-9.1455,-9.14296,-9.14043,-9.13792,-9.13541,-9.13291,-9.13042,-9.12794,-9.12547,-9.12301,-9.12056,-9.11811,-9.11568,-9.11325,-9.11084,-9.10843,-9.10603,-9.10364,-9.10126,-9.09889,-9.09652,-9.09416,-9.09182,-9.08948,-9.08715,-9.08483,-9.08251,-9.0802,-9.07791,-9.07561,-9.07333,-9.07106,-9.06879,-9.06653,-9.06428,-9.06203,-9.0598,-9.05757,-9.05535,-9.05313,-9.05093,
